humidity_sensor,humidity_level_data,humidity_date,humidity_time
AQ802RELHUM01,66,2023-04-20,16:40:32
AQ803RELHUM01,50,2023-06-10,07:13:01
AQ804RELHUM01,96,2023-01-15,07:42:04
AQ805RELHUM01,98,2023-04-14,08:58:39
AQ806RELHUM01,52,2023-02-27,17:52:33
AQ807RELHUM01,84,2023-06-12,18:59:25
AQ808RELHUM01,83,2023-05-06,16:54:36
AQ809RELHUM01,61,2023-03-23,18:41:53
AQ810RELHUM01,56,2023-02-23,07:27:16
AQ811RELHUM01,77,2023-04-27,11:54:09
AQ801RELHUM01,56,2023-05-16,14:39:54
AQ802RELHUM01,91,2023-05-26,16:25:55
AQ803RELHUM01,76,2023-06-06,07:57:25
AQ804RELHUM01,100,2023-05-24,09:41:33
AQ805RELHUM01,61,2023-02-09,12:14:41
AQ806RELHUM01,93,2023-05-26,15:03:12
AQ807RELHUM01,85,2023-06-01,08:56:09
AQ808RELHUM01,94,2023-02-27,16:57:01
AQ809RELHUM01,91,2023-03-03,07:50:34
AQ810RELHUM01,50,2023-01-01,17:42:07
AQ811RELHUM01,73,2023-05-28,18:04:37
AQ801RELHUM01,77,2023-05-07,18:49:39
AQ802RELHUM01,52,2023-03-30,07:27:38
AQ803RELHUM01,59,2023-04-06,17:36:36
AQ804RELHUM01,92,2023-06-11,08:48:33
AQ805RELHUM01,77,2023-02-15,12:52:07
AQ806RELHUM01,75,2023-03-08,13:20:05
AQ807RELHUM01,73,2023-05-01,12:51:34
AQ808RELHUM01,82,2023-02-20,18:39:06
AQ809RELHUM01,58,2023-03-15,13:03:10
AQ810RELHUM01,74,2023-01-28,12:15:40
AQ811RELHUM01,51,2023-04-13,17:41:11
AQ801RELHUM01,66,2023-02-25,13:21:47
AQ802RELHUM01,82,2023-05-01,12:42:21
AQ803RELHUM01,99,2023-05-15,07:11:58
AQ804RELHUM01,71,2023-01-18,16:36:37
AQ805RELHUM01,80,2023-04-21,09:04:35
AQ806RELHUM01,61,2023-01-02,10:56:49
AQ807RELHUM01,96,2023-04-12,15:13:59
AQ808RELHUM01,93,2023-02-11,09:50:20
AQ809RELHUM01,72,2023-03-21,11:09:54
AQ810RELHUM01,91,2023-03-03,12:23:47
AQ811RELHUM01,86,2023-04-11,14:53:23
AQ801RELHUM01,99,2023-04-27,10:17:44
AQ802RELHUM01,100,2023-05-21,18:07:26
AQ803RELHUM01,56,2023-02-13,10:49:43
AQ804RELHUM01,66,2023-03-07,10:29:46
AQ805RELHUM01,64,2023-02-08,13:51:27
AQ806RELHUM01,95,2023-03-10,15:39:27
AQ807RELHUM01,51,2023-05-21,11:00:58
AQ808RELHUM01,92,2023-03-26,12:07:40
AQ809RELHUM01,95,2023-06-11,15:04:06
AQ810RELHUM01,50,2023-01-08,17:15:21
AQ811RELHUM01,88,2023-03-30,11:14:10
AQ801RELHUM01,81,2023-05-28,10:35:14
AQ802RELHUM01,54,2023-04-05,12:43:29
AQ803RELHUM01,83,2023-03-23,17:35:46
AQ804RELHUM01,77,2023-05-30,12:53:35
AQ805RELHUM01,58,2023-02-21,13:00:02
AQ806RELHUM01,84,2023-02-02,10:27:45
AQ807RELHUM01,69,2023-05-09,07:35:17
AQ808RELHUM01,90,2023-02-07,09:04:50
AQ809RELHUM01,75,2023-01-15,11:14:24
AQ810RELHUM01,79,2023-03-10,08:38:09
AQ811RELHUM01,56,2023-01-24,18:42:35
AQ801RELHUM01,60,2023-03-14,12:13:29
AQ802RELHUM01,94,2023-01-25,15:28:49
AQ803RELHUM01,90,2023-03-23,07:19:51
AQ804RELHUM01,50,2023-02-01,17:12:16
AQ805RELHUM01,67,2023-05-29,12:59:10
AQ806RELHUM01,89,2023-05-28,07:44:42
AQ807RELHUM01,56,2023-01-04,10:59:11
AQ808RELHUM01,90,2023-04-22,08:12:07
AQ809RELHUM01,89,2023-05-07,17:23:48
AQ810RELHUM01,66,2023-06-09,16:15:16
AQ811RELHUM01,68,2023-05-10,17:21:07
AQ801RELHUM01,65,2023-04-22,09:02:37
AQ802RELHUM01,56,2023-01-11,10:02:11
AQ803RELHUM01,76,2023-05-02,08:28:03
AQ804RELHUM01,55,2023-01-17,15:05:47
AQ805RELHUM01,99,2023-05-22,10:35:09
AQ806RELHUM01,90,2023-04-07,16:32:32
AQ807RELHUM01,95,2023-03-14,18:01:18
AQ808RELHUM01,99,2023-05-27,08:12:34
AQ809RELHUM01,75,2023-01-07,10:38:42
AQ810RELHUM01,96,2023-02-11,08:00:41
AQ811RELHUM01,88,2023-02-02,13:49:38
AQ801RELHUM01,63,2023-05-19,10:44:14
AQ802RELHUM01,58,2023-04-01,16:02:56
AQ803RELHUM01,70,2023-05-07,13:41:56
AQ804RELHUM01,52,2023-05-21,14:54:50
AQ805RELHUM01,63,2023-05-19,08:25:03
AQ806RELHUM01,80,2023-06-11,12:18:00
AQ807RELHUM01,96,2023-02-13,12:55:35
AQ808RELHUM01,95,2023-02-20,15:40:26
AQ809RELHUM01,84,2023-02-05,13:55:03
AQ810RELHUM01,61,2023-05-13,18:40:44
AQ811RELHUM01,54,2023-05-21,15:34:46
AQ801RELHUM01,98,2023-05-12,07:27:26
AQ802RELHUM01,93,2023-04-05,11:43:34
AQ803RELHUM01,93,2023-02-20,08:26:04
AQ804RELHUM01,91,2023-06-07,13:49:51
AQ805RELHUM01,95,2023-04-20,09:29:33
AQ806RELHUM01,69,2023-05-20,17:46:56
AQ807RELHUM01,81,2023-06-06,10:25:29
AQ808RELHUM01,83,2023-01-09,12:10:47
AQ809RELHUM01,88,2023-05-11,10:25:33
AQ810RELHUM01,51,2023-04-01,12:35:22
AQ811RELHUM01,52,2023-04-25,08:27:16
AQ801RELHUM01,73,2023-04-03,09:57:27
AQ802RELHUM01,61,2023-01-20,18:23:57
AQ803RELHUM01,51,2023-03-11,17:58:52
AQ804RELHUM01,84,2023-03-09,10:15:17
AQ805RELHUM01,52,2023-02-21,17:57:52
AQ806RELHUM01,94,2023-06-10,08:11:12
AQ807RELHUM01,77,2023-05-29,09:14:09
AQ808RELHUM01,80,2023-05-11,16:33:48
AQ809RELHUM01,88,2023-01-16,11:27:57
AQ810RELHUM01,50,2023-01-31,14:20:06
AQ811RELHUM01,66,2023-05-04,09:25:07
AQ801RELHUM01,98,2023-04-27,07:42:47
AQ802RELHUM01,56,2023-03-23,11:35:04
AQ803RELHUM01,53,2023-05-24,12:06:16
AQ804RELHUM01,84,2023-05-31,15:26:28
AQ805RELHUM01,51,2023-02-17,12:42:59
AQ806RELHUM01,91,2023-01-02,17:55:01
AQ807RELHUM01,65,2023-05-12,13:59:31
AQ808RELHUM01,51,2023-06-03,10:29:28
AQ809RELHUM01,91,2023-03-23,17:22:02
AQ810RELHUM01,72,2023-01-07,08:02:15
AQ811RELHUM01,59,2023-01-30,16:27:26
AQ801RELHUM01,76,2023-03-01,11:28:56
AQ802RELHUM01,90,2023-04-06,13:26:33
AQ803RELHUM01,97,2023-01-31,14:16:45
AQ804RELHUM01,72,2023-06-04,07:00:44
AQ805RELHUM01,93,2023-02-26,12:57:08
AQ806RELHUM01,72,2023-04-04,12:45:01
AQ807RELHUM01,57,2023-02-17,13:53:35
AQ808RELHUM01,66,2023-04-24,08:22:04
AQ809RELHUM01,83,2023-06-05,11:33:59
AQ810RELHUM01,100,2023-01-07,13:55:28
AQ811RELHUM01,98,2023-03-06,13:46:48
AQ801RELHUM01,74,2023-04-22,12:22:11
AQ802RELHUM01,75,2023-05-01,18:09:20
AQ803RELHUM01,77,2023-05-24,11:43:49
AQ804RELHUM01,87,2023-02-01,16:15:16
AQ805RELHUM01,73,2023-03-09,08:44:23
AQ806RELHUM01,64,2023-03-13,12:06:06
AQ807RELHUM01,59,2023-05-23,08:38:45
AQ808RELHUM01,76,2023-06-05,10:59:50
AQ809RELHUM01,93,2023-01-16,09:36:39
AQ810RELHUM01,82,2023-06-06,08:45:19
AQ811RELHUM01,85,2023-02-11,10:30:20
AQ801RELHUM01,94,2023-02-04,15:26:28
AQ802RELHUM01,52,2023-01-19,17:52:26
AQ803RELHUM01,98,2023-05-15,07:34:07
AQ804RELHUM01,93,2023-02-08,17:56:18
AQ805RELHUM01,82,2023-06-12,09:31:26
AQ806RELHUM01,72,2023-05-07,08:23:46
AQ807RELHUM01,68,2023-06-01,16:47:22
AQ808RELHUM01,71,2023-04-16,13:23:49
AQ809RELHUM01,57,2023-03-31,14:31:44
AQ810RELHUM01,71,2023-04-30,12:52:31
AQ811RELHUM01,97,2023-02-28,12:36:24
AQ801RELHUM01,63,2023-06-07,08:03:46
AQ802RELHUM01,77,2023-06-09,12:20:27
AQ803RELHUM01,64,2023-04-11,09:18:21
AQ804RELHUM01,80,2023-03-25,09:42:51
AQ805RELHUM01,70,2023-02-14,09:13:02
AQ806RELHUM01,79,2023-04-14,15:35:00
AQ807RELHUM01,55,2023-05-02,17:20:01
AQ808RELHUM01,78,2023-05-24,12:45:01
AQ809RELHUM01,55,2023-04-30,17:03:34
AQ810RELHUM01,64,2023-04-21,11:29:22
AQ811RELHUM01,78,2023-03-23,11:27:11
AQ801RELHUM01,62,2023-06-06,07:32:43
AQ802RELHUM01,96,2023-02-17,18:14:59
AQ803RELHUM01,86,2023-03-18,11:31:05
AQ804RELHUM01,78,2023-05-29,18:54:14
AQ805RELHUM01,80,2023-05-10,09:51:00
AQ806RELHUM01,64,2023-03-16,10:56:03
AQ807RELHUM01,74,2023-04-24,07:42:24
AQ808RELHUM01,52,2023-06-10,16:40:11
AQ809RELHUM01,50,2023-01-15,10:58:51
AQ810RELHUM01,62,2023-03-12,17:28:30
AQ811RELHUM01,81,2023-02-12,13:13:48
AQ801RELHUM01,81,2023-02-05,14:00:40
AQ802RELHUM01,86,2023-05-25,08:19:35
AQ803RELHUM01,57,2023-03-29,08:34:26
AQ804RELHUM01,84,2023-06-01,15:49:06
AQ805RELHUM01,81,2023-03-21,14:04:34
AQ806RELHUM01,70,2023-01-07,09:03:25
AQ807RELHUM01,95,2023-05-03,15:57:29
AQ808RELHUM01,87,2023-02-25,17:43:43
AQ809RELHUM01,90,2023-03-01,07:00:53
AQ810RELHUM01,90,2023-03-24,12:03:23
AQ811RELHUM01,78,2023-05-26,16:25:57
AQ801RELHUM01,60,2023-05-10,09:38:15
AQ802RELHUM01,59,2023-06-05,07:21:11
AQ803RELHUM01,66,2023-03-25,18:28:20
AQ804RELHUM01,94,2023-05-12,10:09:40
AQ805RELHUM01,99,2023-05-17,12:01:44
AQ806RELHUM01,91,2023-03-01,09:44:35
AQ807RELHUM01,87,2023-03-30,13:28:01
AQ808RELHUM01,78,2023-04-26,08:44:55
AQ809RELHUM01,63,2023-02-14,16:29:27
AQ810RELHUM01,59,2023-04-15,16:19:47
AQ811RELHUM01,56,2023-04-02,15:50:43
AQ801RELHUM01,86,2023-01-30,11:33:46
AQ802RELHUM01,65,2023-04-11,18:46:10
AQ803RELHUM01,93,2023-01-31,07:23:05
AQ804RELHUM01,60,2023-02-23,11:35:48
AQ805RELHUM01,57,2023-04-12,10:30:51
AQ806RELHUM01,93,2023-04-25,12:13:53
AQ807RELHUM01,56,2023-01-11,16:12:44
AQ808RELHUM01,79,2023-06-07,16:46:20
AQ809RELHUM01,95,2023-04-05,14:56:29
AQ810RELHUM01,63,2023-06-01,15:37:05
AQ811RELHUM01,63,2023-02-15,11:24:52
AQ801RELHUM01,92,2023-05-26,07:01:08
AQ802RELHUM01,61,2023-05-09,13:25:01
AQ803RELHUM01,64,2023-02-28,08:18:10
AQ804RELHUM01,55,2023-04-25,15:08:08
AQ805RELHUM01,99,2023-04-07,16:18:25
AQ806RELHUM01,59,2023-01-01,12:26:58
AQ807RELHUM01,54,2023-05-15,17:06:55
AQ808RELHUM01,63,2023-04-16,16:09:10
AQ809RELHUM01,97,2023-04-26,17:02:59
AQ810RELHUM01,69,2023-01-28,11:20:16
AQ811RELHUM01,71,2023-01-20,17:02:59
AQ801RELHUM01,69,2023-06-04,15:51:13
AQ802RELHUM01,75,2023-01-14,08:45:43
AQ803RELHUM01,64,2023-04-01,11:31:33
AQ804RELHUM01,83,2023-04-29,11:00:39
AQ805RELHUM01,69,2023-01-09,16:12:01
AQ806RELHUM01,50,2023-01-22,17:23:50
AQ807RELHUM01,65,2023-03-22,11:08:20
AQ808RELHUM01,57,2023-04-23,17:51:54
AQ809RELHUM01,61,2023-05-13,14:30:37
AQ810RELHUM01,76,2023-04-30,10:53:54
AQ811RELHUM01,60,2023-05-23,16:56:29
AQ801RELHUM01,96,2023-05-08,18:43:12
AQ802RELHUM01,84,2023-03-05,09:50:08
AQ803RELHUM01,83,2023-05-25,10:43:35
AQ804RELHUM01,72,2023-01-14,10:06:39
AQ805RELHUM01,76,2023-05-01,14:58:45
AQ806RELHUM01,70,2023-01-06,07:29:09
AQ807RELHUM01,66,2023-01-10,18:17:28
AQ808RELHUM01,98,2023-04-09,15:37:26
AQ809RELHUM01,62,2023-06-05,08:14:38
AQ810RELHUM01,89,2023-03-09,13:22:44
AQ811RELHUM01,90,2023-03-16,11:52:09
AQ801RELHUM01,85,2023-03-27,13:46:55
AQ802RELHUM01,89,2023-01-13,14:59:52
AQ803RELHUM01,50,2023-04-27,17:42:22
AQ804RELHUM01,81,2023-02-28,13:33:44
AQ805RELHUM01,78,2023-01-10,13:53:51
AQ806RELHUM01,67,2023-03-12,12:13:40
AQ807RELHUM01,70,2023-06-05,11:50:53
AQ808RELHUM01,54,2023-02-07,11:51:35
AQ809RELHUM01,66,2023-01-16,14:15:38
AQ810RELHUM01,67,2023-02-18,14:21:48
AQ811RELHUM01,95,2023-02-02,13:15:27
AQ801RELHUM01,94,2023-04-08,18:48:13
AQ802RELHUM01,52,2023-01-29,17:36:31
AQ803RELHUM01,100,2023-01-27,10:32:18
AQ804RELHUM01,95,2023-06-02,12:46:27
AQ805RELHUM01,100,2023-02-14,16:56:25
AQ806RELHUM01,95,2023-04-10,12:29:17
AQ807RELHUM01,98,2023-03-26,10:30:46
AQ808RELHUM01,57,2023-02-01,15:11:09
AQ809RELHUM01,71,2023-06-03,09:06:04
AQ810RELHUM01,100,2023-01-27,13:00:39
AQ811RELHUM01,96,2023-05-28,08:36:36
AQ801RELHUM01,62,2023-02-02,15:08:45
AQ802RELHUM01,97,2023-02-11,09:08:34
AQ803RELHUM01,68,2023-04-14,10:14:13
AQ804RELHUM01,91,2023-05-22,12:26:16
AQ805RELHUM01,84,2023-04-05,18:27:43
AQ806RELHUM01,55,2023-05-09,09:16:05
AQ807RELHUM01,52,2023-02-17,17:12:40
AQ808RELHUM01,53,2023-04-29,10:17:04
AQ809RELHUM01,53,2023-03-07,16:30:13
AQ810RELHUM01,73,2023-04-27,16:40:09
AQ811RELHUM01,58,2023-05-24,12:00:55
AQ801RELHUM01,55,2023-02-25,15:53:38
AQ802RELHUM01,56,2023-05-26,14:32:31
AQ803RELHUM01,90,2023-05-03,14:20:29
AQ804RELHUM01,86,2023-03-31,12:47:24
AQ805RELHUM01,92,2023-05-15,09:48:28
AQ806RELHUM01,62,2023-01-08,14:55:11
AQ807RELHUM01,67,2023-04-13,18:49:36
AQ808RELHUM01,90,2023-04-11,07:44:51
AQ809RELHUM01,54,2023-04-08,16:34:40
AQ810RELHUM01,55,2023-04-21,17:30:06
AQ811RELHUM01,98,2023-03-25,08:55:16
AQ801RELHUM01,97,2023-01-09,14:33:01
AQ802RELHUM01,95,2023-05-03,13:32:09
AQ803RELHUM01,60,2023-03-07,15:54:50
AQ804RELHUM01,61,2023-02-13,15:17:10
AQ805RELHUM01,73,2023-06-02,14:50:49
AQ806RELHUM01,60,2023-01-27,15:07:20
AQ807RELHUM01,99,2023-04-12,18:35:26
AQ808RELHUM01,85,2023-02-13,13:32:07
AQ809RELHUM01,69,2023-03-17,14:02:47
AQ810RELHUM01,96,2023-02-28,08:41:54
AQ811RELHUM01,92,2023-03-09,14:27:26
AQ801RELHUM01,98,2023-01-14,10:12:46
AQ802RELHUM01,85,2023-04-14,14:28:03
AQ803RELHUM01,65,2023-06-08,11:14:17
AQ804RELHUM01,64,2023-03-19,15:26:11
AQ805RELHUM01,57,2023-05-26,17:36:47
AQ806RELHUM01,77,2023-03-15,16:13:29
AQ807RELHUM01,63,2023-02-01,18:18:48
AQ808RELHUM01,87,2023-05-10,07:31:21
AQ809RELHUM01,84,2023-01-04,11:58:39
AQ810RELHUM01,83,2023-01-27,08:06:32
AQ811RELHUM01,64,2023-05-23,10:52:33
AQ801RELHUM01,64,2023-02-07,18:57:00
AQ802RELHUM01,60,2023-03-10,08:29:26
AQ803RELHUM01,57,2023-04-13,14:38:09
AQ804RELHUM01,80,2023-05-25,15:05:51
AQ805RELHUM01,66,2023-01-06,15:24:44
AQ806RELHUM01,56,2023-04-28,12:37:31
AQ807RELHUM01,59,2023-06-03,10:55:49
AQ808RELHUM01,64,2023-06-04,10:26:38
AQ809RELHUM01,67,2023-05-08,09:28:38
AQ810RELHUM01,91,2023-01-03,18:08:57
AQ811RELHUM01,90,2023-05-09,08:51:42
AQ801RELHUM01,73,2023-04-30,16:33:31
AQ802RELHUM01,68,2023-01-10,10:26:53
AQ803RELHUM01,51,2023-04-15,12:55:43
AQ804RELHUM01,75,2023-01-16,14:01:41
AQ805RELHUM01,98,2023-05-18,18:32:19
AQ806RELHUM01,57,2023-03-17,17:50:15
AQ807RELHUM01,58,2023-01-12,11:49:50
AQ808RELHUM01,92,2023-01-04,17:21:48
AQ809RELHUM01,51,2023-03-27,17:23:48
AQ810RELHUM01,78,2023-01-14,11:30:28
AQ811RELHUM01,86,2023-01-24,09:23:26
AQ801RELHUM01,96,2023-05-05,16:20:54
AQ802RELHUM01,55,2023-03-18,07:09:06
AQ803RELHUM01,53,2023-04-24,13:09:54
AQ804RELHUM01,73,2023-06-03,07:27:01
AQ805RELHUM01,85,2023-01-23,13:59:42
AQ806RELHUM01,92,2023-05-25,16:01:15
AQ807RELHUM01,88,2023-03-29,16:48:11
AQ808RELHUM01,88,2023-04-04,18:30:41
AQ809RELHUM01,60,2023-04-01,09:49:29
AQ810RELHUM01,70,2023-04-19,16:57:12
AQ811RELHUM01,99,2023-05-23,07:43:59
AQ801RELHUM01,53,2023-02-13,17:01:11
AQ802RELHUM01,53,2023-01-08,07:33:57
AQ803RELHUM01,76,2023-03-16,11:27:56
AQ804RELHUM01,74,2023-03-31,07:33:49
AQ805RELHUM01,84,2023-03-07,13:09:12
AQ806RELHUM01,98,2023-03-28,10:56:59
AQ807RELHUM01,67,2023-04-15,08:33:36
AQ808RELHUM01,67,2023-01-12,16:08:23
