pm_sensor,pm_ten,pm_two_five,pm_zero_one,pm_date,pm_time
AQ801PM01,18,38,32,2023-05-19,15:51:22
AQ802PM01,22,6,37,2023-04-01,10:15:11
AQ803PM01,24,57,12,2023-04-10,13:35:19
AQ804PM01,30,6,35,2023-01-20,12:07:09
AQ805PM01,15,31,30,2023-05-27,10:52:53
AQ806PM01,18,38,33,2023-05-13,14:17:34
AQ807PM01,21,18,13,2023-02-28,07:18:43
AQ808PM01,7,53,43,2023-02-13,17:50:50
AQ809PM01,27,46,17,2023-03-07,18:41:10
AQ810PM01,22,48,45,2023-02-14,18:00:14
AQ811PM01,14,23,46,2023-05-10,16:00:34
AQ801PM01,15,44,51,2023-03-11,07:07:53
AQ802PM01,6,36,29,2023-03-03,13:05:55
AQ803PM01,21,21,42,2023-05-14,16:42:46
AQ804PM01,37,39,20,2023-02-13,17:42:15
AQ805PM01,6,58,33,2023-03-08,07:07:36
AQ806PM01,8,42,33,2023-05-09,14:52:35
AQ807PM01,15,63,9,2023-02-11,08:15:04
AQ808PM01,17,60,9,2023-05-06,14:42:15
AQ809PM01,36,29,33,2023-02-27,09:54:12
AQ810PM01,22,32,26,2023-02-26,17:01:53
AQ811PM01,37,15,34,2023-04-20,18:01:42
AQ801PM01,32,62,35,2023-02-18,10:01:02
AQ802PM01,26,10,48,2023-02-13,13:05:27
AQ803PM01,34,13,6,2023-05-18,08:36:11
AQ804PM01,29,22,38,2023-02-12,11:38:55
AQ805PM01,9,60,19,2023-04-24,08:46:37
AQ806PM01,14,31,34,2023-01-09,14:52:09
AQ807PM01,14,29,52,2023-05-04,15:04:01
AQ808PM01,42,17,49,2023-04-15,07:10:37
AQ809PM01,32,50,20,2023-02-08,12:41:32
AQ810PM01,20,65,32,2023-04-30,18:19:40
AQ811PM01,33,65,37,2023-06-07,15:17:27
AQ801PM01,18,44,5,2023-01-27,16:42:09
AQ802PM01,33,40,20,2023-04-18,16:21:49
AQ803PM01,27,17,13,2023-04-14,13:12:08
AQ804PM01,10,52,12,2023-02-27,07:01:58
AQ805PM01,42,33,7,2023-03-31,12:28:44
AQ806PM01,21,37,6,2023-05-06,10:42:53
AQ807PM01,15,62,53,2023-02-17,16:00:02
AQ808PM01,9,49,34,2023-02-08,15:50:32
AQ809PM01,33,13,50,2023-06-02,14:44:25
AQ810PM01,41,41,37,2023-05-07,08:58:54
AQ811PM01,14,41,22,2023-05-11,07:10:13
AQ801PM01,37,7,35,2023-04-24,12:11:23
AQ802PM01,42,50,19,2023-03-12,09:19:04
AQ803PM01,15,7,24,2023-01-31,10:11:43
AQ804PM01,11,52,5,2023-03-16,13:49:36
AQ805PM01,17,35,18,2023-02-08,15:23:22
AQ806PM01,22,16,21,2023-04-28,15:34:03
AQ807PM01,21,56,32,2023-01-25,10:05:53
AQ808PM01,27,27,30,2023-03-20,07:40:41
AQ809PM01,32,29,19,2023-05-21,12:42:04
AQ810PM01,31,14,28,2023-01-28,08:58:43
AQ811PM01,32,57,45,2023-06-04,08:56:55
AQ801PM01,16,19,27,2023-01-05,13:48:49
AQ802PM01,5,27,41,2023-05-14,13:30:58
AQ803PM01,14,23,37,2023-05-08,11:39:50
AQ804PM01,9,17,33,2023-06-03,16:35:36
AQ805PM01,38,33,50,2023-05-11,15:57:09
AQ806PM01,39,36,25,2023-05-25,17:30:22
AQ807PM01,20,31,26,2023-02-16,13:21:06
AQ808PM01,9,64,11,2023-06-03,08:55:14
AQ809PM01,26,10,7,2023-01-08,17:15:08
AQ810PM01,28,6,43,2023-03-31,12:16:36
AQ811PM01,25,56,32,2023-02-05,07:07:29
AQ801PM01,10,53,25,2023-02-26,15:45:37
AQ802PM01,16,24,44,2023-04-05,12:46:54
AQ803PM01,36,21,6,2023-01-31,17:14:37
AQ804PM01,13,16,8,2023-05-31,15:36:48
AQ805PM01,22,50,27,2023-01-21,10:47:11
AQ806PM01,12,32,25,2023-01-23,11:52:06
AQ807PM01,15,65,10,2023-03-14,13:53:29
AQ808PM01,30,13,17,2023-05-31,10:05:53
AQ809PM01,22,46,44,2023-06-04,12:50:46
AQ810PM01,31,42,50,2023-03-02,13:02:18
AQ811PM01,8,61,25,2023-06-11,15:10:18
AQ801PM01,16,46,25,2023-04-27,16:50:38
AQ802PM01,16,54,28,2023-04-09,13:42:30
AQ803PM01,24,13,10,2023-01-06,10:54:00
AQ804PM01,7,31,15,2023-03-28,07:42:51
AQ805PM01,29,29,36,2023-02-21,10:37:27
AQ806PM01,42,15,8,2023-02-02,12:05:49
AQ807PM01,5,11,49,2023-05-24,14:57:29
AQ808PM01,12,62,15,2023-03-07,18:18:56
AQ809PM01,6,11,30,2023-04-03,13:00:28
AQ810PM01,17,65,52,2023-01-03,11:29:53
AQ811PM01,30,40,32,2023-05-03,14:30:23
AQ801PM01,6,20,15,2023-04-10,11:40:32
AQ802PM01,13,39,36,2023-05-02,11:16:01
AQ803PM01,33,24,13,2023-05-25,11:38:26
AQ804PM01,29,10,46,2023-01-26,10:21:04
AQ805PM01,34,15,27,2023-06-07,07:18:10
AQ806PM01,18,53,46,2023-03-21,10:57:42
AQ807PM01,40,59,23,2023-05-07,11:07:01
AQ808PM01,40,13,23,2023-05-23,14:38:39
AQ809PM01,38,13,25,2023-03-04,07:09:34
AQ810PM01,15,30,5,2023-02-02,07:39:47
AQ811PM01,24,39,28,2023-05-29,18:54:26
AQ801PM01,26,42,37,2023-04-30,09:52:43
AQ802PM01,10,32,13,2023-04-27,15:26:45
AQ803PM01,16,59,23,2023-05-17,15:16:35
AQ804PM01,33,61,43,2023-02-09,09:14:13
AQ805PM01,35,17,14,2023-03-04,17:05:54
AQ806PM01,34,57,6,2023-06-02,09:21:44
AQ807PM01,30,18,6,2023-01-05,16:05:53
AQ808PM01,5,31,13,2023-01-15,17:20:00
AQ809PM01,21,30,47,2023-06-02,14:58:45
AQ810PM01,26,41,20,2023-03-01,16:21:34
AQ811PM01,6,42,33,2023-02-20,12:10:44
AQ801PM01,16,56,49,2023-03-29,08:20:30
AQ802PM01,29,10,20,2023-02-06,12:12:58
AQ803PM01,9,19,53,2023-05-02,17:46:19
AQ804PM01,29,6,20,2023-06-01,10:30:25
AQ805PM01,27,56,44,2023-02-04,13:12:22
AQ806PM01,43,8,39,2023-03-17,11:00:46
AQ807PM01,39,29,51,2023-04-05,11:43:47
AQ808PM01,14,52,43,2023-04-05,13:30:23
AQ809PM01,36,46,48,2023-01-29,12:58:01
AQ810PM01,19,13,52,2023-03-08,08:52:41
AQ811PM01,13,34,29,2023-05-29,16:59:09
AQ801PM01,5,38,37,2023-01-14,14:44:05
AQ802PM01,19,49,52,2023-05-11,17:47:37
AQ803PM01,11,10,40,2023-05-31,11:06:24
AQ804PM01,8,23,13,2023-03-18,08:07:34
AQ805PM01,40,39,30,2023-01-11,10:50:10
AQ806PM01,35,42,33,2023-01-28,15:29:13
AQ807PM01,36,42,11,2023-03-01,12:01:20
AQ808PM01,39,10,23,2023-01-17,11:24:10
AQ809PM01,17,32,38,2023-04-21,11:18:43
AQ810PM01,6,20,5,2023-02-08,09:13:04
AQ811PM01,11,46,15,2023-05-18,16:39:14
AQ801PM01,9,13,8,2023-03-08,07:48:15
AQ802PM01,14,15,15,2023-02-16,16:16:12
AQ803PM01,5,39,51,2023-05-06,08:10:46
AQ804PM01,8,8,20,2023-03-16,17:27:25
AQ805PM01,23,59,29,2023-04-28,12:43:30
AQ806PM01,29,5,9,2023-01-20,12:07:09
AQ807PM01,15,14,9,2023-06-03,12:15:54
AQ808PM01,15,61,26,2023-05-29,10:07:19
AQ809PM01,14,37,32,2023-04-25,10:50:06
AQ810PM01,16,23,16,2023-06-10,15:33:08
AQ811PM01,37,44,42,2023-05-07,14:15:06
AQ801PM01,17,10,52,2023-01-23,13:45:05
AQ802PM01,25,22,49,2023-03-30,17:26:25
AQ803PM01,27,62,10,2023-03-24,07:55:33
AQ804PM01,17,34,9,2023-03-20,16:06:07
AQ805PM01,19,17,34,2023-01-07,16:39:35
AQ806PM01,41,45,19,2023-05-14,10:19:28
AQ807PM01,26,13,7,2023-05-13,14:35:13
AQ808PM01,8,11,51,2023-01-15,11:28:27
AQ809PM01,9,58,44,2023-01-23,08:37:15
AQ810PM01,25,10,20,2023-03-03,12:56:56
AQ811PM01,8,32,52,2023-05-01,17:02:57
AQ801PM01,27,35,18,2023-03-24,17:16:08
AQ802PM01,27,21,37,2023-02-14,10:30:36
AQ803PM01,12,24,44,2023-04-22,13:17:22
AQ804PM01,24,60,41,2023-03-05,09:55:47
AQ805PM01,33,53,33,2023-05-20,16:42:15
AQ806PM01,20,37,51,2023-03-11,07:39:17
AQ807PM01,27,35,43,2023-04-02,10:35:17
AQ808PM01,29,8,23,2023-02-22,10:16:02
AQ809PM01,29,8,53,2023-02-02,07:34:37
AQ810PM01,17,29,51,2023-03-21,09:20:17
AQ811PM01,31,26,42,2023-06-02,09:44:20
AQ801PM01,20,17,49,2023-01-10,16:44:33
AQ802PM01,5,23,7,2023-05-03,15:23:38
AQ803PM01,42,13,27,2023-05-05,14:39:41
AQ804PM01,31,39,16,2023-03-13,17:55:52
AQ805PM01,35,58,15,2023-02-09,13:22:54
AQ806PM01,12,47,18,2023-01-20,16:15:30
AQ807PM01,5,51,52,2023-02-03,12:08:30
AQ808PM01,33,56,19,2023-05-22,15:47:55
AQ809PM01,12,23,6,2023-03-19,16:25:30
AQ810PM01,40,58,35,2023-02-19,08:42:03
AQ811PM01,43,58,51,2023-06-05,12:01:37
AQ801PM01,12,40,42,2023-03-13,16:21:57
AQ802PM01,21,24,10,2023-05-23,17:05:45
AQ803PM01,22,60,30,2023-06-02,14:42:49
AQ804PM01,37,21,34,2023-04-22,08:58:07
AQ805PM01,33,38,48,2023-05-10,10:03:20
AQ806PM01,34,19,41,2023-05-06,17:10:48
AQ807PM01,34,11,13,2023-01-06,17:51:34
AQ808PM01,5,42,20,2023-05-27,10:07:27
AQ809PM01,34,28,18,2023-03-15,15:22:53
AQ810PM01,30,59,36,2023-01-26,16:55:23
AQ811PM01,20,46,9,2023-03-27,16:26:10
AQ801PM01,12,24,21,2023-04-12,17:13:33
AQ802PM01,40,60,29,2023-05-02,07:07:11
AQ803PM01,38,40,44,2023-05-02,09:53:39
AQ804PM01,24,61,45,2023-05-13,08:42:40
AQ805PM01,7,5,47,2023-02-02,15:49:50
AQ806PM01,26,49,46,2023-05-02,17:59:07
AQ807PM01,12,64,10,2023-02-26,17:01:45
AQ808PM01,20,20,8,2023-05-19,10:48:07
AQ809PM01,37,21,13,2023-06-10,08:09:14
AQ810PM01,24,55,9,2023-03-19,09:05:40
AQ811PM01,13,40,24,2023-01-09,13:46:58
AQ801PM01,28,7,16,2023-04-20,10:23:18
AQ802PM01,10,46,35,2023-01-10,09:21:18
AQ803PM01,5,51,32,2023-03-29,18:17:59
AQ804PM01,24,33,18,2023-05-17,09:17:26
AQ805PM01,15,42,35,2023-04-17,17:14:23
AQ806PM01,15,17,51,2023-05-25,07:05:47
AQ807PM01,37,14,51,2023-06-02,16:10:20
AQ808PM01,27,45,15,2023-03-31,08:56:37
AQ809PM01,17,38,26,2023-01-20,17:42:23
AQ810PM01,11,58,31,2023-01-06,14:03:18
AQ811PM01,17,37,47,2023-04-30,13:04:53
AQ801PM01,35,18,6,2023-03-17,09:00:25
AQ802PM01,28,59,5,2023-06-02,08:44:09
AQ803PM01,33,23,26,2023-04-11,10:13:51
AQ804PM01,34,17,7,2023-05-03,16:52:23
AQ805PM01,29,65,30,2023-01-25,12:08:16
AQ806PM01,38,38,37,2023-04-30,12:19:26
AQ807PM01,27,14,18,2023-04-09,13:10:43
AQ808PM01,43,42,31,2023-05-29,14:16:25
AQ809PM01,18,31,46,2023-04-05,18:17:48
AQ810PM01,16,56,31,2023-02-20,12:16:22
AQ811PM01,24,21,41,2023-05-31,13:44:10
AQ801PM01,23,30,50,2023-02-01,13:41:36
AQ802PM01,8,43,43,2023-05-15,15:01:10
AQ803PM01,29,45,6,2023-03-12,15:46:51
AQ804PM01,34,49,15,2023-03-24,09:54:58
AQ805PM01,27,62,17,2023-01-25,08:44:56
AQ806PM01,32,35,24,2023-05-19,10:13:25
AQ807PM01,43,32,6,2023-02-25,16:43:35
AQ808PM01,34,41,15,2023-05-18,10:34:42
AQ809PM01,24,56,49,2023-01-27,13:56:41
AQ810PM01,35,64,39,2023-05-09,12:11:03
AQ811PM01,27,31,41,2023-01-29,07:20:24
AQ801PM01,21,16,41,2023-05-12,10:54:27
AQ802PM01,23,50,8,2023-02-03,14:53:28
AQ803PM01,29,42,13,2023-04-08,15:00:35
AQ804PM01,8,39,50,2023-05-30,10:00:11
AQ805PM01,21,59,28,2023-05-11,08:20:39
AQ806PM01,17,63,27,2023-03-11,14:56:06
AQ807PM01,8,18,28,2023-05-24,07:09:59
AQ808PM01,7,17,37,2023-03-16,18:08:55
AQ809PM01,42,30,41,2023-01-18,17:45:34
AQ810PM01,31,33,44,2023-03-22,08:49:22
AQ811PM01,17,36,12,2023-03-25,15:08:05
AQ801PM01,27,17,11,2023-02-25,13:22:02
AQ802PM01,8,7,17,2023-01-28,17:33:28
AQ803PM01,7,53,44,2023-01-16,17:46:03
AQ804PM01,33,28,16,2023-02-18,17:35:37
AQ805PM01,18,11,16,2023-03-09,17:45:56
AQ806PM01,43,14,46,2023-03-10,11:52:02
AQ807PM01,14,7,20,2023-03-03,14:13:16
AQ808PM01,39,37,29,2023-04-17,10:02:37
AQ809PM01,38,44,11,2023-05-17,13:07:44
AQ810PM01,37,27,11,2023-03-14,10:25:01
AQ811PM01,33,59,31,2023-03-25,14:06:36
AQ801PM01,17,12,33,2023-03-12,16:35:35
AQ802PM01,10,17,26,2023-02-27,08:25:24
AQ803PM01,13,59,50,2023-02-09,13:50:34
AQ804PM01,21,32,39,2023-04-11,18:42:22
AQ805PM01,30,49,31,2023-03-29,08:42:43
AQ806PM01,14,21,24,2023-03-12,13:13:10
AQ807PM01,6,42,34,2023-02-21,15:52:54
AQ808PM01,28,57,45,2023-01-01,16:01:41
AQ809PM01,35,63,40,2023-03-13,09:02:40
AQ810PM01,24,17,36,2023-01-31,14:04:56
AQ811PM01,6,34,16,2023-04-12,15:54:43
AQ801PM01,27,32,39,2023-06-02,11:58:54
AQ802PM01,17,56,50,2023-03-24,07:35:27
AQ803PM01,13,20,48,2023-01-26,15:39:04
AQ804PM01,29,54,5,2023-03-07,07:22:43
AQ805PM01,32,51,16,2023-01-10,13:19:14
AQ806PM01,15,10,40,2023-04-21,07:41:25
AQ807PM01,32,42,29,2023-05-18,13:29:18
AQ808PM01,28,26,53,2023-01-01,18:15:56
AQ809PM01,25,11,28,2023-04-24,18:20:04
AQ810PM01,19,51,24,2023-01-12,11:30:21
AQ811PM01,37,38,20,2023-04-19,11:06:30
AQ801PM01,32,46,25,2023-01-13,07:51:47
AQ802PM01,11,59,10,2023-06-11,07:17:07
AQ803PM01,8,25,8,2023-01-16,09:18:26
AQ804PM01,16,31,28,2023-01-01,10:09:57
AQ805PM01,30,42,20,2023-01-27,10:56:46
AQ806PM01,12,36,11,2023-01-17,14:41:29
AQ807PM01,43,16,43,2023-05-15,08:44:22
AQ808PM01,20,15,7,2023-03-17,08:51:45
AQ809PM01,20,37,23,2023-04-15,13:26:44
AQ810PM01,18,28,16,2023-05-06,08:27:00
AQ811PM01,39,22,12,2023-03-27,08:46:15
AQ801PM01,24,48,47,2023-01-31,13:44:31
AQ802PM01,39,48,48,2023-02-16,13:12:05
AQ803PM01,17,23,42,2023-01-12,07:36:44
AQ804PM01,17,14,26,2023-01-16,18:20:23
AQ805PM01,26,38,50,2023-02-24,09:53:32
AQ806PM01,26,64,42,2023-01-26,16:15:14
AQ807PM01,5,27,25,2023-05-25,15:10:02
AQ808PM01,11,49,38,2023-01-07,10:27:14
AQ809PM01,36,44,9,2023-05-24,11:22:52
AQ810PM01,34,57,30,2023-04-09,16:48:39
AQ811PM01,31,29,37,2023-02-20,07:32:57
AQ801PM01,14,35,44,2023-04-08,12:43:49
AQ802PM01,25,31,20,2023-01-19,11:33:16
AQ803PM01,14,63,25,2023-04-07,17:05:11
AQ804PM01,12,34,32,2023-02-10,15:03:54
AQ805PM01,13,5,52,2023-04-12,17:24:37
AQ806PM01,27,20,27,2023-02-11,16:23:11
AQ807PM01,13,13,41,2023-03-13,09:50:14
AQ808PM01,13,24,6,2023-01-02,09:42:45
AQ809PM01,28,37,32,2023-05-30,16:48:42
AQ810PM01,9,9,21,2023-01-21,07:40:34
AQ811PM01,11,51,13,2023-02-14,11:59:44
AQ801PM01,8,11,53,2023-02-14,14:21:10
AQ802PM01,42,10,37,2023-05-26,18:48:01
AQ803PM01,16,28,35,2023-02-17,07:46:00
AQ804PM01,42,21,26,2023-05-07,15:43:37
AQ805PM01,21,58,12,2023-03-24,18:59:57
AQ806PM01,23,19,18,2023-01-29,07:47:31
AQ807PM01,9,57,23,2023-05-10,15:24:46
AQ808PM01,41,47,14,2023-04-15,18:00:56
AQ809PM01,12,37,24,2023-03-09,07:11:14
AQ810PM01,20,48,46,2023-04-03,12:35:11
AQ811PM01,7,37,40,2023-05-03,17:54:39
AQ801PM01,29,45,20,2023-05-14,14:05:15
AQ802PM01,12,59,21,2023-06-09,08:26:09
AQ803PM01,11,32,47,2023-02-24,18:33:45
AQ804PM01,9,6,15,2023-04-02,13:45:46
AQ805PM01,24,48,7,2023-01-14,10:01:08
AQ806PM01,30,20,52,2023-03-08,09:02:45
AQ807PM01,43,5,46,2023-05-22,08:25:04
AQ808PM01,8,25,27,2023-02-14,14:21:15
AQ809PM01,20,32,30,2023-06-08,16:28:46
AQ810PM01,18,63,14,2023-05-02,16:37:42
AQ811PM01,7,26,28,2023-01-27,09:06:53
AQ801PM01,18,13,51,2023-01-30,07:05:58
AQ802PM01,25,42,38,2023-04-14,13:56:01
AQ803PM01,25,60,17,2023-05-24,13:52:30
AQ804PM01,27,5,35,2023-04-02,18:35:53
AQ805PM01,11,20,39,2023-04-05,16:51:51
AQ806PM01,31,42,41,2023-03-06,08:35:28
AQ807PM01,25,50,10,2023-01-09,13:58:18
AQ808PM01,20,46,39,2023-02-06,09:10:47
AQ809PM01,38,38,53,2023-03-04,14:24:27
AQ810PM01,15,11,53,2023-05-17,15:24:33
AQ811PM01,10,14,22,2023-05-21,17:10:55
AQ801PM01,33,39,37,2023-04-14,08:52:50
AQ802PM01,32,56,13,2023-05-07,17:11:15
AQ803PM01,15,59,41,2023-01-11,08:35:05
AQ804PM01,17,53,13,2023-04-04,17:42:24
AQ805PM01,43,11,7,2023-05-23,09:55:20
AQ806PM01,12,25,47,2023-03-11,09:28:11
AQ807PM01,27,55,42,2023-01-06,08:54:42
AQ808PM01,16,6,23,2023-04-12,16:21:55
AQ809PM01,8,7,37,2023-01-19,13:25:18
AQ810PM01,29,30,33,2023-01-18,12:54:00
AQ811PM01,23,41,53,2023-05-17,12:55:46
AQ801PM01,34,19,30,2023-03-20,18:19:10
AQ802PM01,7,40,18,2023-05-13,18:37:04
AQ803PM01,7,20,7,2023-05-19,11:44:00
AQ804PM01,9,43,7,2023-01-23,10:29:49
AQ805PM01,31,58,20,2023-04-16,07:33:10
AQ806PM01,5,44,38,2023-05-27,11:36:32
AQ807PM01,21,57,52,2023-02-23,08:26:58
AQ808PM01,32,53,51,2023-01-23,18:33:20
AQ809PM01,20,28,9,2023-01-26,15:02:30
AQ810PM01,40,24,20,2023-02-27,17:45:59
AQ811PM01,39,35,48,2023-05-27,18:51:11
AQ801PM01,9,57,32,2023-05-04,12:30:56
AQ802PM01,22,21,34,2023-06-02,18:18:54
AQ803PM01,20,54,5,2023-02-25,17:15:13
AQ804PM01,25,28,42,2023-01-24,08:49:58
AQ805PM01,6,55,18,2023-05-22,10:54:46
AQ806PM01,13,26,49,2023-06-08,14:51:02
AQ807PM01,23,63,39,2023-01-26,11:16:19
AQ808PM01,28,53,49,2023-02-21,09:50:08
AQ809PM01,31,19,5,2023-03-11,10:33:36
AQ810PM01,37,32,21,2023-05-21,16:09:38
AQ811PM01,25,60,29,2023-03-09,16:43:28
AQ801PM01,7,18,34,2023-05-30,11:05:02
AQ802PM01,29,22,27,2023-01-03,18:37:58
AQ803PM01,18,58,10,2023-05-19,12:39:59
AQ804PM01,14,16,16,2023-05-28,13:28:57
AQ805PM01,31,65,29,2023-02-01,08:56:43
AQ806PM01,19,60,25,2023-04-03,17:13:00
AQ807PM01,15,7,38,2023-01-03,17:50:20
AQ808PM01,38,29,13,2023-05-19,18:44:34
AQ809PM01,25,48,38,2023-01-12,13:53:39
AQ810PM01,39,48,36,2023-03-24,13:25:43
AQ811PM01,31,14,21,2023-01-29,07:19:55
AQ801PM01,32,41,45,2023-04-24,17:30:43
AQ802PM01,40,39,37,2023-05-30,07:20:14
AQ803PM01,32,33,33,2023-01-09,08:07:54
AQ804PM01,29,12,39,2023-01-17,08:01:52
AQ805PM01,7,63,42,2023-01-25,13:27:07
AQ806PM01,14,7,27,2023-05-07,12:16:43
AQ807PM01,39,36,39,2023-01-01,17:18:00
AQ808PM01,13,59,26,2023-02-17,09:49:11
AQ809PM01,24,29,51,2023-02-26,18:05:29
AQ810PM01,30,54,38,2023-01-16,16:19:05
AQ811PM01,35,16,40,2023-05-08,16:57:24
AQ801PM01,37,21,14,2023-06-06,14:37:10
AQ802PM01,20,27,11,2023-03-02,10:32:18
AQ803PM01,39,45,26,2023-04-02,15:39:30
AQ804PM01,41,42,24,2023-01-01,11:48:54
AQ805PM01,24,61,50,2023-04-23,17:36:29
AQ806PM01,23,32,44,2023-03-24,08:58:45
AQ807PM01,13,24,25,2023-02-06,08:43:27
AQ808PM01,14,44,36,2023-01-09,09:48:40
AQ809PM01,15,50,34,2023-01-30,17:50:08
AQ810PM01,13,28,17,2023-03-15,08:28:08
AQ811PM01,12,12,39,2023-02-19,11:26:44
AQ801PM01,14,36,52,2023-05-02,13:18:12
AQ802PM01,41,9,10,2023-04-13,16:57:04
AQ803PM01,14,34,24,2023-05-18,15:28:21
AQ804PM01,41,53,11,2023-02-03,12:43:28
AQ805PM01,31,54,13,2023-06-11,15:27:47
AQ806PM01,18,45,34,2023-01-18,17:29:05
AQ807PM01,6,52,53,2023-03-24,18:11:18
AQ808PM01,29,38,52,2023-02-14,16:58:56
AQ809PM01,8,49,43,2023-02-14,18:12:23
AQ810PM01,22,51,40,2023-03-24,11:30:59
AQ811PM01,29,50,45,2023-04-26,16:03:26
AQ801PM01,30,10,18,2023-01-15,18:41:29
AQ802PM01,9,61,33,2023-02-13,07:33:16
AQ803PM01,28,24,43,2023-02-04,13:57:23
AQ804PM01,40,46,5,2023-06-01,08:42:34
AQ805PM01,22,25,17,2023-05-03,10:59:08
AQ806PM01,15,18,17,2023-02-25,17:44:50
AQ807PM01,14,38,7,2023-01-30,13:12:05
AQ808PM01,18,51,35,2023-03-17,14:26:27
AQ809PM01,16,36,31,2023-01-15,12:01:13
AQ810PM01,14,13,6,2023-03-14,08:24:30
AQ811PM01,32,5,24,2023-01-19,07:14:18
AQ801PM01,31,46,40,2023-03-29,07:17:13
AQ802PM01,7,63,51,2023-01-08,13:30:58
AQ803PM01,40,47,14,2023-03-10,12:11:50
AQ804PM01,13,51,16,2023-02-12,12:52:31
AQ805PM01,10,15,18,2023-01-19,16:32:00
AQ806PM01,5,64,10,2023-04-30,13:19:32
AQ807PM01,37,22,21,2023-04-10,09:05:10
AQ808PM01,39,61,37,2023-05-17,10:13:10
AQ809PM01,36,20,36,2023-02-20,11:52:49
AQ810PM01,12,65,39,2023-05-08,10:53:25
AQ811PM01,5,61,8,2023-04-27,12:12:19
AQ801PM01,24,24,22,2023-01-11,09:02:42
AQ802PM01,33,35,52,2023-02-11,15:28:01
AQ803PM01,29,39,45,2023-03-21,13:37:24
AQ804PM01,22,32,7,2023-01-27,08:24:36
AQ805PM01,29,19,35,2023-03-06,17:50:29
AQ806PM01,26,65,19,2023-04-24,16:21:01
AQ807PM01,13,20,40,2023-02-08,15:17:54
AQ808PM01,35,52,29,2023-04-12,13:16:08
AQ809PM01,20,49,49,2023-03-30,10:23:59
AQ810PM01,35,42,39,2023-01-02,15:25:59
AQ811PM01,27,44,43,2023-02-08,15:43:15
AQ801PM01,23,45,17,2023-06-12,13:23:56
AQ802PM01,8,12,39,2023-05-21,07:10:49
AQ803PM01,18,14,41,2023-02-01,16:02:20
AQ804PM01,29,47,33,2023-03-10,14:36:01
AQ805PM01,26,50,33,2023-05-08,07:52:15
AQ806PM01,40,39,7,2023-02-04,07:45:15
AQ807PM01,20,12,35,2023-04-25,14:46:27
AQ808PM01,6,44,14,2023-02-19,15:45:52
AQ809PM01,20,13,46,2023-03-24,16:52:19
AQ810PM01,10,23,36,2023-05-25,14:19:21
AQ811PM01,19,38,51,2023-02-16,13:09:31
AQ801PM01,13,5,53,2023-04-02,10:16:39
AQ802PM01,43,64,43,2023-05-09,09:32:15
AQ803PM01,43,19,20,2023-05-09,17:19:42
AQ804PM01,5,28,6,2023-01-29,14:28:04
AQ805PM01,27,22,14,2023-03-05,18:59:38
AQ806PM01,20,36,5,2023-03-11,07:50:46
AQ807PM01,18,65,12,2023-01-07,08:44:58
AQ808PM01,36,54,10,2023-02-20,17:24:04
AQ809PM01,12,12,6,2023-05-09,09:45:36
