gas_sensor,gas_level_data,gas_date,gas_time
AQ802GAS01,1351,2023-05-27,11:50:45
AQ803GAS01,2343,2023-01-31,11:23:21
AQ804GAS01,573,2023-02-02,07:26:50
AQ805GAS01,2489,2023-01-07,10:01:56
AQ806GAS01,2036,2023-02-16,18:47:13
AQ807GAS01,421,2023-05-16,07:04:05
AQ808GAS01,2058,2023-01-29,15:55:53
AQ809GAS01,832,2023-03-10,11:50:50
AQ810GAS01,1943,2023-01-23,18:57:51
AQ811GAS01,1111,2023-03-27,17:12:29
AQ801GAS01,474,2023-06-11,12:04:28
AQ802GAS01,2577,2023-04-07,16:55:26
AQ803GAS01,921,2023-03-06,13:00:20
AQ804GAS01,912,2023-04-27,12:36:24
AQ805GAS01,1806,2023-05-11,10:24:32
AQ806GAS01,2398,2023-05-07,08:45:45
AQ807GAS01,2761,2023-03-23,07:37:47
AQ808GAS01,2759,2023-05-27,16:48:35
AQ809GAS01,2611,2023-04-15,16:52:14
AQ810GAS01,911,2023-03-31,08:50:55
AQ811GAS01,1303,2023-05-03,13:25:31
AQ801GAS01,2268,2023-02-24,08:19:48
AQ802GAS01,780,2023-02-05,15:10:15
AQ803GAS01,1127,2023-01-24,08:13:00
AQ804GAS01,1753,2023-03-26,14:39:21
AQ805GAS01,915,2023-02-04,12:53:52
AQ806GAS01,2429,2023-03-03,11:04:41
AQ807GAS01,1444,2023-01-16,08:26:23
AQ808GAS01,1871,2023-05-06,07:07:27
AQ809GAS01,465,2023-04-14,16:27:24
AQ810GAS01,2961,2023-04-03,16:53:13
AQ811GAS01,2447,2023-02-04,16:15:14
AQ801GAS01,954,2023-03-05,08:18:42
AQ802GAS01,1441,2023-03-28,10:14:13
AQ803GAS01,1753,2023-03-21,13:10:46
AQ804GAS01,2350,2023-03-21,15:53:22
AQ805GAS01,1787,2023-01-15,08:21:49
AQ806GAS01,2490,2023-03-25,11:15:26
AQ807GAS01,1087,2023-01-10,09:17:27
AQ808GAS01,1804,2023-05-04,10:51:20
AQ809GAS01,2138,2023-04-21,17:21:57
AQ810GAS01,2559,2023-04-05,13:15:36
AQ811GAS01,2004,2023-01-13,18:23:10
AQ801GAS01,1110,2023-01-23,17:09:11
AQ802GAS01,1091,2023-04-15,14:55:27
AQ803GAS01,2587,2023-01-16,17:21:00
AQ804GAS01,848,2023-02-07,10:46:23
AQ805GAS01,2219,2023-01-31,10:52:15
AQ806GAS01,1830,2023-03-31,18:34:33
AQ807GAS01,2694,2023-01-13,11:50:00
AQ808GAS01,765,2023-03-10,08:08:07
AQ809GAS01,340,2023-05-11,16:09:08
AQ810GAS01,556,2023-03-23,13:33:01
AQ811GAS01,1321,2023-01-04,18:11:01
AQ801GAS01,1142,2023-04-03,09:50:51
AQ802GAS01,841,2023-05-18,16:55:15
AQ803GAS01,2022,2023-01-28,16:45:17
AQ804GAS01,1339,2023-05-01,07:24:40
AQ805GAS01,1265,2023-04-27,10:03:04
AQ806GAS01,2733,2023-01-03,08:51:50
AQ807GAS01,2759,2023-01-14,15:43:04
AQ808GAS01,2351,2023-03-07,09:25:17
AQ809GAS01,1525,2023-05-12,13:59:19
AQ810GAS01,2992,2023-05-04,07:42:15
AQ811GAS01,634,2023-04-03,14:07:55
AQ801GAS01,573,2023-05-06,12:16:57
AQ802GAS01,615,2023-03-20,13:48:13
AQ803GAS01,345,2023-04-08,16:36:27
