outdoor_temp_sensor,outdoor_temp_data,outdoor_temp_date,outdoor_temp_time
AQ802OUTTEMP01,33,2023-02-13,09:14:54
AQ803OUTTEMP01,38,2023-01-06,12:37:43
AQ804OUTTEMP01,26,2023-05-04,11:38:58
AQ805OUTTEMP01,32,2023-04-28,09:55:35
AQ806OUTTEMP01,27,2023-02-07,15:23:33
AQ807OUTTEMP01,31,2023-05-23,16:49:28
AQ808OUTTEMP01,32,2023-04-02,07:05:48
AQ809OUTTEMP01,37,2023-05-20,10:25:19
AQ810OUTTEMP01,24,2023-01-16,14:45:36
AQ811OUTTEMP01,29,2023-01-21,07:42:52
AQ801OUTTEMP01,36,2023-05-10,10:31:15
AQ802OUTTEMP01,27,2023-03-13,13:23:53
AQ803OUTTEMP01,28,2023-02-14,09:19:53
AQ804OUTTEMP01,30,2023-04-01,07:54:15
AQ805OUTTEMP01,33,2023-03-13,18:14:45
AQ806OUTTEMP01,40,2023-01-21,08:27:30
AQ807OUTTEMP01,35,2023-06-10,16:34:10
AQ808OUTTEMP01,32,2023-01-03,13:46:40
AQ809OUTTEMP01,28,2023-03-01,11:18:00
AQ810OUTTEMP01,36,2023-01-02,18:18:03
AQ811OUTTEMP01,35,2023-06-10,14:43:49
AQ801OUTTEMP01,39,2023-01-18,15:16:06
AQ802OUTTEMP01,34,2023-02-14,17:38:31
AQ803OUTTEMP01,25,2023-01-06,08:16:17
AQ804OUTTEMP01,36,2023-03-02,08:54:13
AQ805OUTTEMP01,35,2023-06-11,18:55:35
AQ806OUTTEMP01,38,2023-03-12,15:38:48
AQ807OUTTEMP01,39,2023-01-04,10:22:24
AQ808OUTTEMP01,33,2023-02-06,09:01:35
AQ809OUTTEMP01,29,2023-01-20,11:31:53
AQ810OUTTEMP01,36,2023-03-03,12:18:58
AQ811OUTTEMP01,32,2023-06-05,07:59:19
AQ801OUTTEMP01,30,2023-06-04,17:11:24
AQ802OUTTEMP01,24,2023-02-27,07:19:50
AQ803OUTTEMP01,24,2023-04-02,08:08:39
AQ804OUTTEMP01,35,2023-01-03,14:07:24
AQ805OUTTEMP01,38,2023-06-06,08:48:37
AQ806OUTTEMP01,36,2023-05-26,13:04:49
AQ807OUTTEMP01,29,2023-05-08,12:19:13
AQ808OUTTEMP01,32,2023-05-08,07:12:18
AQ809OUTTEMP01,34,2023-01-10,07:47:05
AQ810OUTTEMP01,25,2023-01-10,12:18:19
AQ811OUTTEMP01,30,2023-01-23,08:42:13
AQ801OUTTEMP01,39,2023-02-23,18:11:55
AQ802OUTTEMP01,28,2023-01-06,10:21:55
AQ803OUTTEMP01,26,2023-04-07,09:54:04
AQ804OUTTEMP01,32,2023-05-20,14:34:52
AQ805OUTTEMP01,33,2023-05-07,16:22:39
AQ806OUTTEMP01,24,2023-05-14,07:27:04
AQ807OUTTEMP01,40,2023-01-15,17:36:40
AQ808OUTTEMP01,36,2023-05-03,15:18:35
AQ809OUTTEMP01,40,2023-05-27,07:28:54
AQ810OUTTEMP01,26,2023-04-19,07:15:36
AQ811OUTTEMP01,33,2023-01-29,15:37:56
AQ801OUTTEMP01,34,2023-06-07,12:04:49
AQ802OUTTEMP01,29,2023-04-28,13:47:28
AQ803OUTTEMP01,27,2023-05-17,12:20:52
AQ804OUTTEMP01,26,2023-01-17,14:50:46
AQ805OUTTEMP01,24,2023-03-05,08:45:01
AQ806OUTTEMP01,39,2023-03-29,17:50:21
AQ807OUTTEMP01,26,2023-02-19,13:30:21
AQ808OUTTEMP01,29,2023-01-25,18:03:39
AQ809OUTTEMP01,26,2023-01-13,10:54:56
AQ810OUTTEMP01,24,2023-05-07,15:48:06
AQ811OUTTEMP01,40,2023-02-06,08:45:36
AQ801OUTTEMP01,27,2023-02-18,15:40:33
AQ802OUTTEMP01,32,2023-05-17,18:47:57
AQ803OUTTEMP01,31,2023-01-26,07:11:05
