outdoor_temp_id,outdoor_temp_sensor,outdoor_temp_data,outdoor_temp_date,outdoor_temp_time
94,AQ807OUTTEMP01,40,2023-05-16,17:32:41
95,AQ808OUTTEMP01,29,2023-05-25,17:43:57
96,AQ809OUTTEMP01,26,2023-05-10,18:03:34
97,AQ810OUTTEMP01,30,2023-05-12,09:17:02
98,AQ811OUTTEMP01,27,2023-05-08,11:41:45
99,AQ801OUTTEMP01,36,2023-05-04,08:02:58
100,AQ802OUTTEMP01,37,2023-05-10,13:18:53
101,AQ803OUTTEMP01,36,2023-05-22,16:11:41
102,AQ804OUTTEMP01,34,2023-05-21,13:00:16
103,AQ805OUTTEMP01,40,2023-05-24,17:39:29
104,AQ806OUTTEMP01,36,2023-05-11,17:22:25
105,AQ807OUTTEMP01,37,2023-05-30,13:23:41
106,AQ808OUTTEMP01,35,2023-05-13,07:58:35
107,AQ809OUTTEMP01,32,2023-05-12,12:40:13
108,AQ810OUTTEMP01,39,2023-05-17,07:22:37
109,AQ811OUTTEMP01,34,2023-05-03,09:16:33
110,AQ801OUTTEMP01,35,2023-05-23,15:33:30
111,AQ802OUTTEMP01,35,2023-05-22,16:23:29
112,AQ803OUTTEMP01,34,2023-05-05,17:15:12
113,AQ804OUTTEMP01,27,2023-05-25,11:30:32
114,AQ805OUTTEMP01,31,2023-05-18,15:21:10
115,AQ806OUTTEMP01,29,2023-05-16,15:09:10
116,AQ807OUTTEMP01,32,2023-05-22,15:16:59
117,AQ808OUTTEMP01,28,2023-05-25,10:52:28
118,AQ809OUTTEMP01,29,2023-05-12,10:17:26
119,AQ810OUTTEMP01,28,2023-05-08,08:55:59
120,AQ811OUTTEMP01,26,2023-05-14,18:31:45
121,AQ801OUTTEMP01,39,2023-05-08,12:26:39
122,AQ802OUTTEMP01,27,2023-05-14,09:31:44
123,AQ803OUTTEMP01,39,2023-05-15,15:33:10
124,AQ804OUTTEMP01,40,2023-05-16,18:15:38
125,AQ805OUTTEMP01,31,2023-05-07,16:44:33
126,AQ806OUTTEMP01,40,2023-05-03,15:27:05
127,AQ807OUTTEMP01,32,2023-05-25,08:41:30
128,AQ808OUTTEMP01,26,2023-05-17,17:31:02
129,AQ809OUTTEMP01,33,2023-05-12,09:46:11
130,AQ810OUTTEMP01,26,2023-05-18,10:55:37
131,AQ811OUTTEMP01,33,2023-05-01,15:28:22
132,AQ801OUTTEMP01,31,2023-05-09,07:26:33
133,AQ802OUTTEMP01,35,2023-05-01,17:02:02
134,AQ803OUTTEMP01,30,2023-05-21,13:37:34
135,AQ804OUTTEMP01,33,2023-05-05,11:15:40
136,AQ805OUTTEMP01,30,2023-05-04,12:52:07
137,AQ806OUTTEMP01,29,2023-05-09,14:50:40
138,AQ807OUTTEMP01,33,2023-05-26,13:46:48
139,AQ808OUTTEMP01,27,2023-05-07,10:17:41
140,AQ809OUTTEMP01,36,2023-05-05,09:26:06
141,AQ810OUTTEMP01,35,2023-05-03,09:26:48
142,AQ811OUTTEMP01,27,2023-05-08,12:16:12
143,AQ801OUTTEMP01,29,2023-05-13,15:20:19
144,AQ802OUTTEMP01,36,2023-05-23,12:47:39
145,AQ803OUTTEMP01,29,2023-05-25,07:00:58
146,AQ804OUTTEMP01,30,2023-05-29,14:17:55
147,AQ805OUTTEMP01,33,2023-05-03,18:46:44
148,AQ806OUTTEMP01,33,2023-05-27,07:29:58
149,AQ807OUTTEMP01,26,2023-05-01,15:59:45
150,AQ808OUTTEMP01,36,2023-05-13,09:28:03
151,AQ809OUTTEMP01,27,2023-05-30,08:57:35
152,AQ810OUTTEMP01,38,2023-05-16,18:54:13
153,AQ811OUTTEMP01,40,2023-05-04,12:18:17
154,AQ801OUTTEMP01,35,2023-05-16,17:20:17
155,AQ802OUTTEMP01,39,2023-05-11,18:18:34
156,AQ803OUTTEMP01,30,2023-05-29,17:03:08
157,AQ804OUTTEMP01,33,2023-05-06,15:57:42
158,AQ805OUTTEMP01,34,2023-05-20,18:30:59
159,AQ806OUTTEMP01,32,2023-05-03,11:26:05
160,AQ807OUTTEMP01,28,2023-05-08,09:39:30
161,AQ808OUTTEMP01,29,2023-05-16,18:24:19
162,AQ809OUTTEMP01,36,2023-05-02,12:34:32
163,AQ810OUTTEMP01,30,2023-05-10,07:16:07
164,AQ811OUTTEMP01,28,2023-05-29,18:36:07
165,AQ801OUTTEMP01,39,2023-05-26,17:34:17
166,AQ802OUTTEMP01,32,2023-05-17,16:01:45
167,AQ803OUTTEMP01,34,2023-05-10,15:00:45
168,AQ804OUTTEMP01,29,2023-05-03,07:28:29
169,AQ805OUTTEMP01,37,2023-05-06,10:23:28
170,AQ806OUTTEMP01,37,2023-05-24,15:10:07
171,AQ807OUTTEMP01,39,2023-05-16,07:48:17
172,AQ808OUTTEMP01,34,2023-05-13,10:27:45
173,AQ809OUTTEMP01,26,2023-05-03,12:36:18
174,AQ810OUTTEMP01,33,2023-05-19,18:27:19
175,AQ811OUTTEMP01,33,2023-05-01,16:21:47
176,AQ801OUTTEMP01,29,2023-05-21,15:18:49
177,AQ802OUTTEMP01,38,2023-05-15,10:20:28
178,AQ803OUTTEMP01,32,2023-05-10,16:35:27
179,AQ804OUTTEMP01,40,2023-05-27,18:52:46
180,AQ805OUTTEMP01,32,2023-05-15,10:57:51
181,AQ806OUTTEMP01,33,2023-05-22,10:34:59
182,AQ807OUTTEMP01,31,2023-05-20,09:18:23
183,AQ808OUTTEMP01,26,2023-05-21,17:56:45
184,AQ809OUTTEMP01,30,2023-05-12,09:36:01
185,AQ810OUTTEMP01,26,2023-05-27,13:52:23
186,AQ811OUTTEMP01,32,2023-05-21,14:31:14
187,AQ801OUTTEMP01,28,2023-05-08,08:14:43
188,AQ802OUTTEMP01,26,2023-05-18,15:05:08
189,AQ803OUTTEMP01,28,2023-05-09,07:33:36
190,AQ804OUTTEMP01,33,2023-05-09,07:19:21
191,AQ805OUTTEMP01,33,2023-05-29,13:10:22
192,AQ806OUTTEMP01,36,2023-05-25,16:35:28
193,AQ807OUTTEMP01,26,2023-05-14,10:01:20
194,AQ808OUTTEMP01,35,2023-05-23,17:40:48
195,AQ809OUTTEMP01,31,2023-05-11,14:56:53
196,AQ810OUTTEMP01,37,2023-05-09,13:16:03
197,AQ811OUTTEMP01,38,2023-05-26,12:00:07
198,AQ801OUTTEMP01,34,2023-05-30,17:33:51
199,AQ802OUTTEMP01,31,2023-05-03,08:42:39
200,AQ803OUTTEMP01,28,2023-05-12,15:31:21
