ec_sensor_acu_id,ec_acu_date,ec_acu_time,ec_acu_current
R-ACU15-1,2023-05-11,15:53:02,83
R-ACU15-1,2023-05-02,09:16:43,48
R-ACU15-1,2023-05-25,15:51:22,56
R-ACU15-1,2023-05-30,11:38:49,103
R-ACU15-1,2023-05-29,17:25:02,45
R-ACU15-1,2023-05-21,15:30:40,98
R-ACU15-1,2023-05-25,09:27:56,55
R-ACU15-1,2023-05-01,07:16:30,98
R-ACU15-1,2023-05-26,17:11:37,82
R-ACU15-1,2023-05-30,14:05:51,46
R-ACU15-1,2023-05-30,15:03:48,64
R-ACU15-1,2023-05-06,10:23:15,38
R-ACU15-1,2023-05-13,07:29:45,47
R-ACU15-1,2023-05-16,12:10:39,45
R-ACU15-1,2023-05-18,18:04:18,49
R-ACU15-1,2023-05-23,10:28:03,114
R-ACU15-1,2023-05-03,18:47:31,80
R-ACU15-1,2023-05-19,13:00:00,87
R-ACU15-1,2023-05-12,07:32:05,99
R-ACU15-1,2023-05-29,08:31:02,89
R-ACU15-1,2023-05-14,07:46:55,48
R-ACU15-1,2023-05-14,07:14:07,106
R-ACU15-1,2023-05-27,08:55:22,68
R-ACU15-1,2023-05-02,14:33:38,87
R-ACU15-1,2023-05-29,16:49:22,10
R-ACU15-1,2023-05-19,15:17:24,19
R-ACU15-1,2023-05-07,18:43:29,32
R-ACU15-1,2023-05-27,14:51:21,96
R-ACU15-1,2023-05-25,16:50:58,107
R-ACU15-1,2023-05-19,08:40:59,86
R-ACU15-1,2023-05-24,08:57:43,52
R-ACU15-1,2023-05-16,11:45:07,47
R-ACU15-1,2023-05-19,11:33:23,85
R-ACU15-1,2023-05-29,15:01:09,82
R-ACU15-1,2023-05-12,11:20:36,71
R-ACU15-1,2023-05-13,16:02:53,10
R-ACU15-1,2023-05-04,09:29:58,0
R-ACU15-1,2023-05-21,09:12:16,11
R-ACU15-1,2023-05-08,12:13:22,84
R-ACU15-1,2023-05-27,09:45:10,10
R-ACU15-1,2023-05-26,15:19:45,32
R-ACU15-1,2023-05-07,11:10:54,89
R-ACU15-1,2023-05-25,08:54:42,13
R-ACU15-1,2023-05-10,16:28:58,14
R-ACU15-1,2023-05-28,14:02:39,50
R-ACU15-1,2023-05-21,18:10:23,0
R-ACU15-1,2023-05-10,14:07:21,63
R-ACU15-1,2023-05-30,13:58:17,98
R-ACU15-1,2023-05-22,08:56:40,1
R-ACU15-1,2023-05-10,09:12:33,47
R-ACU15-1,2023-05-19,18:00:58,15
R-ACU15-1,2023-05-12,11:28:49,49
R-ACU15-1,2023-05-25,15:23:50,36
R-ACU15-1,2023-05-26,09:49:59,12
R-ACU15-1,2023-05-17,07:54:49,16
R-ACU15-1,2023-05-18,16:08:19,115
R-ACU15-1,2023-05-16,12:10:08,19
R-ACU15-1,2023-05-15,16:19:19,31
R-ACU15-1,2023-05-22,14:06:41,62
R-ACU15-1,2023-05-19,11:03:46,12
R-ACU15-1,2023-05-07,09:31:26,20
R-ACU15-1,2023-05-27,09:07:02,83
R-ACU15-1,2023-05-10,08:03:11,66
R-ACU15-1,2023-05-02,15:46:52,81
R-ACU15-1,2023-05-12,15:37:13,62
R-ACU15-1,2023-05-22,15:36:56,58
R-ACU15-1,2023-05-24,10:06:21,45
R-ACU15-1,2023-05-04,16:57:00,85
R-ACU15-1,2023-05-23,14:06:47,52
R-ACU15-1,2023-05-13,14:37:01,62
R-ACU15-1,2023-05-04,08:12:52,8
R-ACU15-1,2023-05-06,16:48:01,32
R-ACU15-1,2023-05-06,11:29:54,20
R-ACU15-1,2023-05-20,18:50:28,113
R-ACU15-1,2023-05-29,16:41:40,2
R-ACU15-1,2023-05-21,18:17:09,45
R-ACU15-1,2023-05-23,14:48:04,52
R-ACU15-1,2023-05-22,09:04:24,117
R-ACU15-1,2023-05-01,17:15:05,10
R-ACU15-1,2023-05-17,08:53:22,113
R-ACU15-1,2023-05-13,12:54:15,94
R-ACU15-1,2023-05-26,17:23:54,119
R-ACU15-1,2023-05-30,17:31:23,116
R-ACU15-1,2023-05-10,17:58:30,91
R-ACU15-1,2023-05-04,07:22:26,18
R-ACU15-1,2023-05-13,16:02:43,4
R-ACU15-1,2023-05-24,11:33:23,115
R-ACU15-1,2023-05-20,09:42:51,83
R-ACU15-1,2023-05-24,07:40:38,5
R-ACU15-1,2023-05-02,07:59:19,29
R-ACU15-1,2023-05-23,07:15:12,76
R-ACU15-1,2023-05-14,07:41:50,119
R-ACU15-1,2023-05-17,08:35:25,87
R-ACU15-1,2023-05-21,07:30:51,19
R-ACU15-1,2023-05-30,17:09:32,43
R-ACU15-1,2023-05-08,14:14:38,115
R-ACU15-1,2023-05-02,11:11:42,35
R-ACU15-1,2023-05-24,16:41:53,57
