ec_sensor_acu_id,ec_acu_date,ec_acu_time,ec_acu_current
R-ACU2-6,2023-05-21,17:45:49,36
R-ACU2-9,2023-05-19,07:24:50,55
R-ACU2-2,2023-05-08,15:49:31,73
R-ACU2-2,2023-05-07,17:09:53,18
R-ACU2-9,2023-05-22,14:55:24,12
R-ACU2-2,2023-05-05,16:19:12,100
R-ACU2-10,2023-05-09,09:57:28,60
R-ACU2-12,2023-05-24,12:56:44,106
R-ACU2-3,2023-05-28,10:06:13,67
R-ACU2-5,2023-05-16,08:07:22,14
R-ACU2-4,2023-05-15,07:45:46,86
R-ACU2-6,2023-05-02,13:12:04,36
R-ACU2-4,2023-05-15,08:56:11,99
R-ACU2-2,2023-05-27,07:15:58,10
R-ACU2-8,2023-05-19,18:46:41,94
R-ACU2-11,2023-05-02,12:27:57,44
R-ACU2-6,2023-05-04,18:56:53,6
R-ACU2-9,2023-05-22,09:41:09,88
R-ACU2-1,2023-05-10,11:48:00,2
R-ACU2-2,2023-05-11,16:17:14,77
R-ACU2-7,2023-05-12,15:22:12,14
R-ACU2-1,2023-05-08,11:48:30,57
R-ACU2-2,2023-05-11,14:20:20,116
R-ACU2-10,2023-05-06,11:41:12,83
R-ACU2-6,2023-05-27,17:03:46,38
R-ACU2-6,2023-05-21,07:22:54,89
R-ACU2-7,2023-05-06,13:55:32,54
R-ACU2-6,2023-05-29,08:11:40,13
R-ACU2-3,2023-05-20,14:12:40,27
R-ACU2-5,2023-05-14,18:49:19,94
R-ACU2-4,2023-05-29,15:33:41,34
R-ACU2-4,2023-05-09,12:29:11,9
R-ACU2-8,2023-05-29,09:45:46,81
R-ACU2-6,2023-05-29,18:22:51,42
R-ACU2-13,2023-05-11,12:53:09,55
R-ACU2-5,2023-05-22,10:33:04,79
R-ACU2-6,2023-05-05,07:51:08,47
R-ACU2-9,2023-05-26,17:04:42,13
R-ACU2-10,2023-05-06,14:01:33,97
R-ACU2-9,2023-05-14,13:07:53,8
R-ACU2-10,2023-05-29,14:01:29,85
R-ACU2-4,2023-05-18,07:19:38,29
R-ACU2-11,2023-05-02,18:10:41,48
R-ACU2-12,2023-05-01,08:31:00,48
R-ACU2-13,2023-05-18,07:32:51,85
R-ACU2-8,2023-05-07,13:45:08,33
R-ACU2-13,2023-05-01,08:02:15,23
R-ACU2-2,2023-05-25,07:41:07,34
R-ACU2-14,2023-05-29,09:17:21,33
R-ACU2-3,2023-05-13,15:10:14,45
R-ACU2-8,2023-05-17,13:13:36,104
R-ACU2-6,2023-05-25,11:35:24,34
R-ACU2-1,2023-05-21,13:33:06,110
R-ACU2-9,2023-05-04,07:21:24,116
R-ACU2-2,2023-05-22,08:33:56,55
R-ACU2-5,2023-05-21,13:59:22,1
R-ACU2-1,2023-05-15,17:43:50,33
R-ACU2-9,2023-05-30,10:18:28,91
R-ACU2-2,2023-05-16,14:19:12,52
R-ACU2-8,2023-05-30,12:50:19,86
R-ACU2-10,2023-05-28,11:54:16,37
R-ACU2-11,2023-05-24,14:48:46,119
R-ACU2-2,2023-05-26,16:08:42,11
R-ACU2-14,2023-05-29,12:31:43,35
R-ACU2-2,2023-05-05,17:06:52,105
R-ACU2-5,2023-05-07,18:05:44,55
R-ACU2-6,2023-05-03,15:45:15,43
R-ACU2-8,2023-05-30,11:26:05,48
R-ACU2-4,2023-05-13,07:07:56,56
R-ACU2-14,2023-05-03,16:50:32,54
R-ACU2-11,2023-05-06,09:25:40,24
R-ACU2-13,2023-05-08,07:40:08,46
R-ACU2-14,2023-05-02,15:59:02,22
R-ACU2-4,2023-05-09,08:31:16,83
R-ACU2-8,2023-05-24,11:09:03,16
R-ACU2-11,2023-05-13,11:23:44,31
R-ACU2-10,2023-05-13,14:39:44,113
R-ACU2-12,2023-05-11,09:22:09,55
R-ACU2-3,2023-05-07,11:22:29,77
R-ACU2-7,2023-05-01,15:37:31,88
R-ACU2-8,2023-05-18,09:58:07,13
R-ACU2-12,2023-05-03,17:32:15,74
R-ACU2-11,2023-05-12,14:30:23,64
R-ACU2-9,2023-05-27,12:26:17,110
R-ACU2-1,2023-05-27,12:10:38,27
R-ACU2-14,2023-05-06,08:18:41,117
R-ACU2-4,2023-05-04,17:39:49,62
R-ACU2-9,2023-05-28,15:26:52,58
R-ACU2-3,2023-05-26,18:13:44,98
R-ACU2-12,2023-05-10,07:18:21,54
R-ACU2-10,2023-05-06,16:09:54,75
R-ACU2-7,2023-05-20,15:46:10,95
R-ACU2-5,2023-05-14,15:25:14,25
R-ACU2-13,2023-05-16,08:08:25,57
R-ACU2-14,2023-05-06,09:59:43,100
R-ACU2-14,2023-05-16,17:09:17,1
R-ACU2-5,2023-05-16,14:57:34,98
R-ACU2-3,2023-05-06,07:05:49,117
R-ACU2-13,2023-05-29,16:03:37,3
R-ACU2-1,2023-05-16,08:30:16,109
R-ACU2-8,2023-05-29,13:08:11,69
R-ACU2-5,2023-05-15,15:03:51,63
R-ACU2-6,2023-05-09,09:16:13,79
R-ACU2-14,2023-05-20,11:15:32,84
R-ACU2-5,2023-05-07,12:58:28,116
R-ACU2-9,2023-05-04,14:07:01,65
R-ACU2-2,2023-05-28,12:37:06,22
R-ACU2-14,2023-05-09,11:25:46,27
R-ACU2-10,2023-05-10,12:53:44,90
R-ACU2-6,2023-05-03,10:54:12,21
R-ACU2-6,2023-05-10,17:06:31,110
R-ACU2-11,2023-05-05,10:07:09,112
R-ACU2-8,2023-05-11,12:41:15,97
R-ACU2-6,2023-05-06,14:31:25,41
R-ACU2-13,2023-05-05,07:20:25,0
R-ACU2-3,2023-05-20,18:09:27,9
R-ACU2-5,2023-05-21,17:53:47,112
R-ACU2-9,2023-05-03,16:26:44,49
R-ACU2-7,2023-05-14,12:35:35,110
R-ACU2-13,2023-05-16,10:42:08,30
R-ACU2-12,2023-05-09,12:58:13,100
R-ACU2-1,2023-05-30,14:02:44,99
R-ACU2-2,2023-05-03,12:30:23,47
R-ACU2-12,2023-05-04,14:38:19,78
R-ACU2-8,2023-05-21,17:13:37,71
R-ACU2-11,2023-05-15,17:20:54,1
R-ACU2-11,2023-05-29,18:39:59,3
R-ACU2-6,2023-05-30,11:40:57,9
R-ACU2-2,2023-05-14,11:43:58,30
R-ACU2-10,2023-05-28,10:52:27,16
R-ACU2-9,2023-05-05,18:13:36,15
R-ACU2-11,2023-05-05,10:01:19,34
R-ACU2-12,2023-05-01,07:44:24,50
R-ACU2-10,2023-05-12,09:27:17,105
R-ACU2-13,2023-05-04,14:33:03,103
R-ACU2-5,2023-05-10,13:09:16,56
R-ACU2-9,2023-05-04,08:02:37,114
R-ACU2-3,2023-05-13,09:59:45,49
R-ACU2-12,2023-05-09,14:00:42,41
R-ACU2-1,2023-05-14,07:20:36,15
R-ACU2-13,2023-05-21,10:34:13,111
R-ACU2-11,2023-05-09,16:13:49,98
R-ACU2-4,2023-05-03,15:53:58,7
R-ACU2-6,2023-05-01,12:31:48,21
R-ACU2-4,2023-05-22,11:21:05,89
R-ACU2-13,2023-05-13,12:32:56,31
R-ACU2-11,2023-05-03,10:17:52,19
R-ACU2-9,2023-05-25,16:17:58,64
R-ACU2-6,2023-05-28,12:31:32,23
R-ACU2-7,2023-05-18,08:30:06,71
R-ACU2-13,2023-05-28,13:26:33,106
